		Latin name (ordered by phylogeny)	Fish number or origin	Mx	Mx Singleton	TLR5	TLR5 singletons	Synteny Mx	Synteny TLR5 
		Xiphophorus maculatus	Ensembl	Mx		TLR5			
		Poecilia formosa	Ensembl	Mx		TLR5			
		Oryzias latipes	Ensembl	Mx		TLR5			
		Oreochromis niloticus	Ensembl	Mx		TLR5			
		Pseudochromis fuscus	90	Mx UTG		loss	no findings	no	no
		Chromis chromis	87	Mx UTG		TLR5 UTG		no	no
		Parablennius parvicornis	88	Mx UTG		TLR5 UTG		yes, Mx/THOC7 utg7180000853787	no
		Anabas testudineus	85	Mx UTG		TLR5 UTG		yes, Mx/THOC7 utg7180000487434	no
		Helostoma temminckii	84	Mx UTG		TLR5 UTG		no	yes, TLR5/THBD utg7180000019013
		Selene dorsalis	86	Mx UTG		TLR5 UTG		yes, Mx/THOC7 utg7180000236995	no
		Tetraodon nigroviridis	Ensembl	Mx		TLR5			
		Takifugu rubripes	Ensembl	Mx		TLR5			
		Antennarius striatus	52	Mx UTG		TLR5 UTG		yes, Mx/THOC7 utg7180002092389	no
		Spondyliosoma cantharus	81	Mx UTG		TLR5 UTG		no	no
		Symphodus melops	89	Mx UTG		TLR5 UTG		yes, Mx/THOC7 utg7180000769161	no
		Chaenocephalus aceratus	61	Mx UTG		TLR5 UTG		no	no
		Sebastes norvegicus	56	Mx UTG		TLR5 UTG		no	no
		Myoxocephalus scorpius	91	Mx UTG		TLR5 UTG		yes, Mx/THOC7 utg7180002622789	no
		Gasterosteus aculeatus	Ensembl	Mx		TLR5			
		Perca fluviatilis	55	Mx UTG		TLR5 UTG		no	no
		Lesueurigobius cf sanzoi	96	Mx UTG		TLR5 UTG		no	no
		Thunnus albacares	83	Mx UTG		TLR5 UTG		no	yes, TLR5/DISP1 utg7180002332540
		Chatrabus melanurus	40	Mx UTG		TLR5 UTG		no	no
		Carapus acus	33	Mx UTG		TLR5 UTG		yes, Mx/THOC7 utg7180000637795	no
		Lamprogrammus exutus	31	Mx UTG		TLR5 UTG		no	no
		Brotula barbata	32	Mx UTG		TLR5 UTG		no	no
		Acanthochaenus luetkenii	79	Mx UTG		TLR5 UTG		no	no
		Rondeletia loricata	68	Mx UTG		TLR5 UTG		no	no
		Beryx splendens	69	Mx UTG		TLR5 UTG		no	no
		Neoniphon sammara	70	Mx UTG		TLR5 UTG		no	no
		Holocentrus rufus	35	Mx UTG		TLR5 UTG		yes, Mx/THOC7 utg7180000982229	no
		Myripristis jacobus	34	Mx UTG		TLR5 UTG		yes, Mx/THOC7 utg7180000902163	no
